Source,Target,Weight,Sample Predicates
Paul Groussac,Rubén Darío,38,
Jorge Luis Borges,Silvina Ocampo,22,
Jorge Luis Borges,Julio Cortázar,19,
Ricardo Piglia,Roberto Arlt,19,
Juan José Saer,Ricardo Piglia,12,
Jorge Luis Borges,Juan José Saer,12,
Jorge Luis Borges,Ricardo Piglia,11,
Jorge Luis Borges,Macedonio Fernández,11,
César Aira,Ricardo Piglia,11,
Silvina Ocampo,Victoria Ocampo,9,
Leopoldo Lugones,Rubén Darío,9,
Jorge Luis Borges,Leopoldo Lugones,8,
Manuel Puig,Ricardo Piglia,8,
Manuel Puig,Roberto Arlt,6,
Beatriz Sarlo,Jorge Luis Borges,6,
